Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,lower
Ravisrinivasan Sai Kishore,GT,https://sports.ndtv.com/cricket/players/107511-ravisrinivasan-sai-kishore-playerprofile,Bowler ,3.0,Ravisrinivasan Sai Kishore,"November 6, 1996 Chennai, Tamil Nadu","25 Years, 4 Months, 9 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ravisrinivasan sai kishore
David Miller,GT,https://sports.ndtv.com/cricket/players/1274-david-miller-playerprofile,Batsman ,3.0,David Andrew Miller,"June 10, 1989 Pietermaritzburg, Natal","32 Years, 9 Months, 5 Days",South Africa,Left Handed,Off break,,89.0,86.0,26.0,1974.0,101* v RCB,1.0,10.0,137.0,90.0,32.9,136.51,53.0,0.0,3.0,3.0,,,,,,,,,,,,,david miller
Abhinav Manohar,GT,https://sports.ndtv.com/cricket/players/64145-abhinav-manohar-playerprofile,Batsman ,2.6,Abhinav Manohar Sadarangani,"September 16, 1994 Bangalore","27 Years, 6 Months, -1 Days",India,Right Handed,Leg break googly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abhinav manohar
Alzarri Joseph,GT,https://sports.ndtv.com/cricket/players/64674-alzarri-joseph-playerprofile,Bowler ,2.4,Alzarri Shaheim Joseph,"November 20, 1996 Antigua","25 Years, 3 Months, 25 Days",West Indies,Right Handed,Right-arm fast medium,IPL,3.0,2.0,2.0,15.0,15* v PBKS,0.0,0.0,2.0,0.0,,115.38,1.0,0.0,1.0,0.0,3.0,8.4,1.0,87.0,6.0,6/12 v SRH,0.0,1.0,14.5,10.03,8.66,3.0,alzarri joseph
Matthew Wade,GT,https://sports.ndtv.com/cricket/players/1010-matthew-wade-playerprofile,Wicket-Keeper ,2.4,Matthew Scott Wade,"December 26, 1987 Hobart, Tasmania","34 Years, 2 Months, 21 Days",Australia,Left Handed,Right-arm medium,,3.0,3.0,0.0,22.0,11 v PWI,0.0,0.0,0.0,0.0,7.33,66.66,,,0.0,0.0,,,,,,,,,,,,,matthew wade
Jason Roy,GT,https://sports.ndtv.com/cricket/players/16312-jason-jonathan-roy-playerprofile,Batsman ,2.0,Jason Jonathan Roy,"July 21, 1990 Durban, South Africa","31 Years, 7 Months, 25 Days",England,Right Handed,,,13.0,13.0,2.0,329.0,91* v MI,0.0,2.0,39.0,9.0,29.9,129.02,8.0,0.0,0.0,0.0,,,,,,,,,,,,,jason roy
Wriddhiman Saha,GT,https://sports.ndtv.com/cricket/players/1088-wriddhiman-saha-playerprofile,Wicket-Keeper ,1.9,Wriddhiman Prasanta Saha,"October 24, 1984 Shaktigarh","37 Years, 4 Months, 22 Days",India,Right Handed,,,133.0,108.0,22.0,2110.0,115* v KKR,1.0,8.0,191.0,69.0,24.53,128.73,69.0,20.0,6.0,8.0,,,,,,,,,,,,,wriddhiman saha
Jayant Yadav,GT,https://sports.ndtv.com/cricket/players/60086-jayant-yadav-playerprofile,All-Rounder ,1.7,Jayant Yadav,"January 22, 1990 Delhi","32 Years, 1 Months, 21 Days",India,Right Handed,Off break,IPL,19.0,5.0,1.0,40.0,23 v DC,0.0,0.0,2.0,1.0,10.0,111.11,6.0,0.0,1.0,2.0,19.0,61.0,0.0,419.0,8.0,1/8 v CSK,0.0,0.0,52.37,6.86,45.75,19.0,jayant yadav
Vijay Shankar,GT,https://sports.ndtv.com/cricket/players/62197-vijay-shankar-playerprofile,All-Rounder ,1.4,Vijay Shankar,"January 26, 1991 Tirunelveli, Tamil Nadu","31 Years, 1 Months, 18 Days",India,Right Handed,Right-arm medium,IPL,47.0,39.0,12.0,712.0,63* v GL,0.0,3.0,45.0,28.0,26.37,126.24,21.0,0.0,3.0,1.0,20.0,38.1,0.0,329.0,9.0,2/19 v MI,0.0,0.0,36.55,8.62,25.44,20.0,vijay shankar
Dominic Drakes,GT,https://sports.ndtv.com/cricket/players/114349-dominic-drakes-playerprofile,All-Rounder ,1.1,Dominic Conneil Drakes,"February 6, 1998 ","24 Years, 1 Months, 6 Days",West Indies,Left Handed,Left-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominic drakes
Varun Aaron,GT,https://sports.ndtv.com/cricket/players/1252-varun-aaron-playerprofile,Bowler ,0.5,Varun Raymond Aaron,"October 29, 1989 Singhbhum, Bihar (now Jharkhand)","32 Years, 4 Months, 17 Days",India,Right Handed,Right-arm fast,IPL,50.0,13.0,8.0,50.0,17* v PBKS,0.0,0.0,2.0,2.0,10.0,69.44,3.0,0.0,5.0,2.0,48.0,160.4,2.0,1429.0,42.0,3/16 v KKR,1.0,0.0,34.02,8.89,22.95,48.0,varun aaron
Gurkeerat Singh Mann,GT,https://sports.ndtv.com/cricket/players/1661-gurkeerat-singh-playerprofile,All-Rounder ,0.5,Gurkeerat Rupinder Singh,"June 29, 1990 Muktsar, Punjab","31 Years, 8 Months, 16 Days",India,Right Handed,Off break,IPL,41.0,32.0,8.0,511.0,65 v SRH,0.0,2.0,55.0,11.0,21.29,121.09,19.0,1.0,4.0,1.0,6.0,13.0,0.0,97.0,5.0,2/15 v RPS,0.0,0.0,19.4,7.46,15.6,6.0,gurkeerat singh mann
Noor Ahmad,GT,https://sports.ndtv.com/cricket/players/112545-noor-ahmad-playerprofile,Bowler ,0.3,Noor Ahmad Lakanwal,"January 3, 2005 ","17 Years, 2 Months, 12 Days",Afghanistan,Right Handed,Slow left-arm chinaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,noor ahmad
Darshan Nalkande,GT,https://sports.ndtv.com/cricket/players/110589-darshan-nalkande-playerprofile,All-Rounder ,0.2,Darshan Girish Nalkande,"October 4, 1998 Wardha, Maharashtra","23 Years, 5 Months, 11 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,darshan nalkande
Sai Sudharsan,GT,https://sports.ndtv.com/cricket/players/115302-sai-sudharsan-playerprofile,All-Rounder ,0.2,Bhardwaj Sai Sudharsan,"October 15, 2001 ","20 Years, 5 Months, 0 Days",India,Left Handed,Leg break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sai sudharsan
Pradeep Sangwan,GT,https://sports.ndtv.com/cricket/players/1047-pradeep-sangwan-playerprofile,All-Rounder ,0.2,Pradeep Jaibeer Sangwan,"November 5, 1990 Rasiwas, Delhi","31 Years, 4 Months, 10 Days",India,Right Handed,Left-arm medium,IPL,39.0,14.0,7.0,24.0,6* v MI,0.0,0.0,1.0,0.0,3.42,61.53,6.0,0.0,6.0,1.0,39.0,133.4,1.0,1175.0,35.0,3/18 v DCH,3.0,0.0,33.57,8.79,22.91,39.0,pradeep sangwan
